Id,AB,AF,AH,AM,AR,AX,AY,AZ,BC,BD ,BN,BP,BQ,BR,BZ,CB,CC,CD ,CF,CH,CL,CR,CS,CU,CW ,DA,DE,DF,DH,DI,DL,DN,DU,DV,DY,EB,EE,EG,EH,EJ,EL,EP,EU,FC,FD ,FE,FI,FL,FR,FS,GB,GE,GF,GH,GI,GL,Target
298989cc4e92,2.615076,2311.11936,2353.415652,96.700728,150.39792,118.85234400000002,0.745416,155.180448,55.999104,44219.66424,220.3344,2412.109692,120.63234,5310.683256,3089.188524,354.919656,11.6848548,959.827104,69.845688,0.33432,171.39672000000002,8.28,335.33781600000003,15.359328,434.37984000000006,490.13712,8817.64926,23.12388,3.837132,1489.49424,845.19312,234.691008,0.0662112,130.97112,334.096992,95.672448,65.06034,9951.6612,0.036504,A,1309.501908,1043.31864,2187.161856,364.722624,3.5622,72181.00015200001,120.40392,2.078748,8.86704,4.388904,198.69072,6812.763132,152615.47344,307.786236,1952.240592,263.736,no_fraud
d02c11462079,9.024576,35279.18592,1022.401764,177.978396,97.664256,43.373664000000005,0.306936,119.410296,14.7588,32372.9232,258.4692,4725.840672,173.1804,3373.236948,3089.188524,393.19098,10.29533328,1334.567808,339.01068,0.7737120000000001,12.6027,9.8253,404.10843,17.87508,462.881808,738.04584,1630.4479199999998,14.695668,3.214008,2301.94359,960.8688,474.213408,12.331836,20.91684,202.032192,90.32904,17.800896,20686.9821,1.971216,B,1309.501908,942.323616,442.60372799999993,308.859264,27.001476,98122.280868,144.749328,48.791881356,24.69756,1.62552,148.013424,871.332756,70493.693472,298.632576,247.74532800000003,1.291651008,no_fraud
c82e5a429e5b,5.89674,33281.45172,1022.401764,165.119652,97.664256,43.905204,0.3142439999999999,169.39776,14.7588,48355.06452,254.232,2737.003608,413.7261,24445.09782,3089.188524,322.934976,7.138441439999999,794.2904639999999,35.524962,0.420288,17.41464,11.0403,502.567362,12.90978,257.923104,701.7755999999999,2124.59562,2.86416,2.918844,2083.49829,2461.59984,323.130048,3.062268,20.91684,444.061152,79.09092,41.1162,21012.151356,1.606176,B,1309.501908,942.323616,55.99771200000001,503.592768,26.075304,49200.402492,155.66506800000002,28.816302264,5.96472,3.4948680000000003,188.198064,1031.06031,10456.029504,450.449376,1267.214112,4.238270268,no_fraud
cc42ed28ac3f,4.666116,27652.12032,1022.401764,359.227224,97.664256,69.312816,0.332514,115.855968,14.7588,39890.58636,266.9436,1568.158704,4135.72926,8474.503824,3089.188524,3020.236128,4.82596272,832.91568,144.982716,0.539688,12.6027,7.8345,424.946742,13.836636000000002,258.12624,861.05736,6489.167820000001,2.86416,5.5753200000000005,1138.536,1052.7072,387.73968,5.048604,20.91684,274.64088,118.7424,58.433376,86864.5458,2.336256,B,82.949724,942.323616,45.940608,155.800512,40.181616,90021.77010000001,114.1191,39.198823032,14.000040000000002,4.795284,145.892568,871.332756,548283.45444,440.49198,405.645552,3.739278684,no_fraud
ea50b3c5bd63,3.948252,15830.40096,1022.401764,85.179888,97.664256,34.443792,0.306936,190.799352,78.179472,61134.71796,241.5204,1655.193852,76.96212,4087.648044,3089.188524,529.511892,8.986522319999999,889.04592,65.174712,0.33432,16.65084,9.8046,409.108788,17.21304,488.704368,396.2256,1809.7461,2.86416,4.394664,1641.9767399999998,895.43712,234.527232,0.496584,20.91684,135.676368,59.116752000000005,108.498396,108566.511456,1.387152,B,985.878036,979.807452,418.661136,438.955776,65.473236,93798.352296,127.3503,33.737781384,5.96472,9.184188,291.11539200000004,1494.951318,96115.76316,392.133864,808.266432,22.572,no_fraud
8c58bec30f78,3.281664,107302.08852,1022.401764,618.185976,154.708488,86.215788,0.500598,120.847152,14.7588,58492.84044,258.4692,2663.8554240000003,4135.72926,31701.792768,3089.188524,803.5875120000001,5.682750479999999,991.31712,285.659376,0.343872,19.70604,5.7879000000000005,395.614098,16.352388,261.919584,537.8844,4505.073,21.380112,3.837132,2619.26532,1368.672,468.39936,11.835252,20.91684,130.609392,104.917392,26.217624,11950.50315,0.876096,B,1309.501908,942.323616,101.968704,217.215936,23.581764,99567.498084,102.5418,93.927713592,18.40572,0.8127599999999999,269.237088,871.332756,130493.59236,228.439632,1898.537232,0.5981538479999999,no_fraud
8f5b7d4621da,2.82018,19303.20744,1470.218544,144.493632,97.664256,100.46106,0.306936,80.91768,14.7588,71646.23412000001,317.79,3397.2193799999995,1610.70276,6274.288955999999,3089.188524,530.725104,11.76824592,1454.15376,92.59845,0.205368,13.44288,12.0681,390.007002,11.916720000000002,84.36768000000001,426.62928,2617.0935,2.86416,4.624236,1371.8907,1256.96496,223.472352,166.438404,20.91684,363.528576,99.192312,27.8139,7402.11015,17.229888,B,387.654696,942.323616,45.940608,586.5310079999999,256.905864,89141.59616399999,181.26744,195.11863044,10.77756,18.043272,262.3164,871.332756,27631.467792,306.803892,681.47712,0.836503236,payment_fraud
34a025893d36,12.101136,114789.07968,1022.401764,634.463808,174.12177599999998,106.254846,0.306936,201.689208,14.7588,44268.7548,245.7576,2078.669952,4135.72926,4809.753468,3089.188524,637.0465919999999,8.05225536,2565.960624,60.284784,0.2674559999999999,14.28306,7.774649999999999,430.742136,18.272304,370.769568,480.63888,2048.1717,23.258664,1.836576,2031.9705,935.60688,427.209696,0.0662112,20.91684,826.806504,386.845776,34.295748,26017.4442,0.036504,A,1309.501908,942.323616,609.563808,1069.62912,3.5622,150558.88116,113.192916,2.078748,5.96472,0.8127599999999999,190.095672,1486.603188,19527.63552,293.14038,1044.484056,263.736,identification_fraud
1bac22586f27,24.3561,58166.394,1022.401764,7566.21876,97.664256,101.736756,0.306936,237.913104,64.474872,125390.4258,313.5528,9028.56132,4135.72926,6221.662656,3089.188524,512.0857560000001,13.21398576,1004.63616,126.517764,0.577896,15.35238,5.5593,695.13345,15.160716,84.36768000000001,409.21584,2535.1347,2.86416,2.62368,906.06231,530.34768,381.18864,48.168648,20.91684,303.641232,104.705352,19.83252,26613.1962,12.265344,B,1309.501908,942.323616,322.921152,550.5454080000001,59.987448,75954.932304,175.97496,34.430496563999995,22.4808,10.809708,322.59336,3411.2314320000005,286477.95564,497.110716,46.975008,2.057567016,payment_fraud
f8eb43047d69,3.1278360000000003,43138.45536,1022.401764,175.265424,97.664256,54.004464,0.306936,139.601904,14.7588,45281.63112,254.232,2216.725704,930.7665,9878.392038,3089.188524,297.7884,8.09679672,593.4583680000001,72.454866,0.300888,12.6027,5.0508,293.577504,20.059812,258.116304,333.88176,4812.63138,2.86416,3.968316,1972.87506,978.19344,314.531808,16.221744,20.91684,335.768016,88.378272,41.551548,362925.10536,2.993328,B,493.085736,942.323616,45.940608,285.280128,63.692136000000005,92905.332384,83.621184,86.928199032,14.14968,0.8127599999999999,189.20268,3318.474432,39825.13878,150.92376000000002,1026.2897280000002,1.491061224,no_fraud
